52:train {'center': 0.4502317277632382, 'dim': 1.089316064359588, 'loss': 0.559163335474805}, val :{'center': 0.5777956842812934, 'dim': 1.280285530305672, 'loss': 0.7058242390036938}
53:train {'center': 0.4304805328486748, 'dim': 1.0817697463474896, 'loss': 0.5386575088333946}, val :{'center': 0.5672261813718436, 'dim': 1.2754709786826335, 'loss': 0.6947732816444462}
54:train {'center': 0.444756191202409, 'dim': 1.0914161005084209, 'loss': 0.5538978045252143}, val :{'center': 0.5984951035410474, 'dim': 1.2804947103083457, 'loss': 0.7265445762620872}
55:train {'center': 0.4250015128482555, 'dim': 1.087803248251697, 'loss': 0.5337818393380079}, val :{'center': 0.5813119104791428, 'dim': 1.250612974643889, 'loss': 0.7063732098126128}
56:train {'center': 0.42871922328925177, 'dim': 1.0686608287514743, 'loss': 0.5355853084010035}, val :{'center': 0.5694646184663538, 'dim': 1.2583318821083866, 'loss': 0.6952978081709303}
57:train {'center': 0.43554270876689516, 'dim': 1.0845965105832882, 'loss': 0.5440023619817452}, val :{'center': 0.5740930358073826, 'dim': 1.2591467103908258, 'loss': 0.7000077080968257}
58:train {'center': 0.4216008025888289, 'dim': 1.064829907810848, 'loss': 0.5280837953491083}, val :{'center': 0.5469571124781542, 'dim': 1.24239522030042, 'loss': 0.6711966359619048}
59:train {'center': 0.42059767316318974, 'dim': 1.0577252867583349, 'loss': 0.5263702051424477}, val :{'center': 0.5853800930840365, 'dim': 1.2551477669220517, 'loss': 0.7108948723451461}
60:train {'center': 0.41493488148913044, 'dim': 1.0648112978907784, 'loss': 0.5214160151650947}, val :{'center': 0.5473544589134118, 'dim': 1.2402973376577948, 'loss': 0.6713841949807947}
61:train {'center': 0.40358584781754725, 'dim': 1.041898726272949, 'loss': 0.5077757217604917}, val :{'center': 0.4966311925951187, 'dim': 1.2342994955489488, 'loss': 0.6200611440499401}
62:train {'center': 0.40271612820206587, 'dim': 1.0493132107088525, 'loss': 0.5076474516497006}, val :{'center': 0.5441021832767667, 'dim': 1.232912789895969, 'loss': 0.6673934642893748}
63:train {'center': 0.4066200901015935, 'dim': 1.0484694893437934, 'loss': 0.5114670407291566}, val :{'center': 0.5381026403520791, 'dim': 1.2389458025954563, 'loss': 0.6619972224748221}
64:train {'center': 0.38773027870396504, 'dim': 1.0427726666208879, 'loss': 0.49200754737098934}, val :{'center': 0.5294224924511143, 'dim': 1.2397847032593436, 'loss': 0.6534009649899809}
65:train {'center': 0.38074996522600957, 'dim': 1.0361739648738428, 'loss': 0.48436736296898114}, val :{'center': 0.5475061942108018, 'dim': 1.214575010096922, 'loss': 0.6689636967110991}
